Dataset;Algoritm;window;model;resample;F1-Score(weighted);Accuracy;Sensitivity;Specificity;ROCAUCscore
wro4j;RandomForest;2;model1;ADA;0.9456318927;0.9444325252;0.812962963;0.9616597913;0.8873113771
wro4j;RandomForest;2;model1;SMOTE;0.9430864707;0.9425016091;0.7759259259;0.9643290463;0.8701274861
wro4j;MLP;2;model1;ROS;0.9101140952;0.9040978331;0.7611111111;0.9228342635;0.8419726873
wro4j;RandomForest;2;model1;ROS;0.9395265175;0.9407852392;0.6981481481;0.972579471;0.8353638096
wro4j;DT;2;model1;SMOTE;0.9213648277;0.9206178932;0.6796296296;0.9521960689;0.8159128493
wro4j;DT;2;model1;ROS;0.9266314549;0.9281270114;0.6444444444;0.9652996845;0.8048720645
wro4j;MLP;2;model1;ADA;0.9117685135;0.9103196739;0.6518518519;0.9441883038;0.7980200778
wro4j;MLP;2;model1;SMOTE;0.9089327163;0.9083887578;0.6185185185;0.9463722397;0.7824453791
wro4j;DT;2;model1;ADA;0.9138052673;0.915897876;0.5833333333;0.9594758554;0.7714045944
wro4j;LogistRegression;2;model1;NONE;0.8058577393;0.7697918902;0.7203703704;0.7762678961;0.7483191333
wro4j;LogistRegression;2;model1;ROS;0.8110563188;0.7773010084;0.7;0.7874302354;0.7437151177
wro4j;LogistRegression;2;model1;SMOTE;0.8094474921;0.775155546;0.7;0.7850036399;0.7425018199
wro4j;LogistRegression;2;model1;ADA;0.7998096302;0.7620682257;0.7092592593;0.7689881097;0.7391236845
wro4j;DT;2;model1;NONE;0.9135441311;0.9199742545;0.5018518519;0.9747634069;0.7383076294
wro4j;RandomForest;2;model1;NONE;0.9118184886;0.9238360867;0.412962963;0.9907789372;0.7018709501
wro4j;MLP;2;model1;NONE;0.904698323;0.9150396911;0.4203703704;0.9798592575;0.7001148139
pdfbox;RandomForest;2;model1;SMOTE;0.9316228172;0.9314986984;0.7074742268;0.9607332044;0.8341037156
pdfbox;DT;2;model1;SMOTE;0.9081641506;0.9025660097;0.7351804124;0.9244093164;0.8297948644
pdfbox;RandomForest;2;model1;ADA;0.9315745756;0.9317962068;0.6971649485;0.9624148659;0.8297899072
pdfbox;MLP;2;model1;ROS;0.9129881197;0.9088136854;0.7255154639;0.9327335407;0.8291245023
pdfbox;MLP;2;model1;SMOTE;0.9069217042;0.901227222;0.7300257732;0.9235684857;0.8267971294
pdfbox;DT;2;model1;ADA;0.9059700205;0.9019709929;0.681056701;0.93079963;0.8059281655
pdfbox;RandomForest;2;model1;ROS;0.9280605756;0.9300855337;0.6353092784;0.9685529303;0.8019311043
pdfbox;DT;2;model1;ROS;0.9198590304;0.9205652659;0.6359536082;0.9577062137;0.796829911
pdfbox;MLP;2;model1;ADA;0.9148528045;0.9143919673;0.6417525773;0.9499705709;0.7958615741
pdfbox;DT;2;model1;NONE;0.9195044077;0.9211602826;0.612757732;0.961405869;0.7870818005
pdfbox;MLP;2;model1;NONE;0.9254899429;0.93120119;0.5451030928;0.9815858068;0.7633444498
pdfbox;RandomForest;2;model1;NONE;0.9246016041;0.9307549275;0.5341494845;0.9825107206;0.7583301026
pdfbox;LogistRegression;2;model1;ROS;0.7997523255;0.7618445519;0.7081185567;0.7688556294;0.738487093
pdfbox;LogistRegression;2;model1;NONE;0.7901075145;0.7489029379;0.7145618557;0.7533843437;0.7339730997
pdfbox;LogistRegression;2;model1;SMOTE;0.7982676884;0.7601338788;0.6984536082;0.7681829648;0.7333182865
pdfbox;LogistRegression;2;model1;ADA;0.7895756956;0.7485310524;0.7010309278;0.7547296729;0.7278803004
junit4;RandomForest;2;model1;SMOTE;0.974619183;0.9746666667;0.7698412698;0.9868173258;0.8783292978
junit4;RandomForest;2;model1;ADA;0.9750292619;0.9755555556;0.7380952381;0.9896421846;0.8638687113
junit4;LogistRegression;2;model1;ADA;0.8823623528;0.8457777778;0.8650793651;0.8446327684;0.8548560667
junit4;DT;2;model1;ADA;0.9596857494;0.9577777778;0.7301587302;0.9712806026;0.8507196664
junit4;MLP;2;model1;ROS;0.9519291526;948;0.7301587302;0.9609227872;0.8455407587
junit4;MLP;2;model1;SMOTE;0.9505550011;0.9462222222;0.7301587302;0.959039548;0.8445991391
junit4;LogistRegression;2;model1;ROS;0.886215457;852;0.8333333333;0.8531073446;0.843220339
junit4;LogistRegression;2;model1;SMOTE;0.8815227079;0.8448888889;0.8412698413;0.8451035782;0.8431867097
junit4;LogistRegression;2;model1;NONE;0.8774003983;0.8391111111;0.8174603175;0.8403954802;0.8289278988
junit4;DT;2;model1;SMOTE;0.9569424744;0.9555555556;0.6746031746;0.9722222222;0.8234126984
junit4;MLP;2;model1;NONE;0.9547141781;0.9533333333;0.6507936508;0.9712806026;0.8110371267
junit4;MLP;2;model1;ADA;0.9531449672;0.9515555556;0.6428571429;0.9698681733;0.8063626581
junit4;DT;2;model1;NONE;0.9586413017;0.9591111111;0.6111111111;0.9797551789;0.795433145
junit4;RandomForest;2;model1;ROS;0.9691562095;0.9715555556;0.5952380952;0.9938794727;0.794558784
junit4;DT;2;model1;ROS;0.9595928057;0.9604444444;0.6031746032;0.9816384181;0.7924065106
junit4;RandomForest;2;model1;NONE;0.9569633142;964;0.3888888889;0.9981167608;0.6935028249
commons-io;RandomForest;2;model1;ROS;0.9670929724;0.9668125827;0.8669165886;0.9789858383;0.9229512134
commons-io;RandomForest;2;model1;ADA;0.9655992929;0.9652855543;0.8612933458;0.9779579717;0.9196256588
commons-io;RandomForest;2;model1;SMOTE;0.9654779036;0.9651837524;0.8594189316;0.9780721791;0.9187455553
commons-io;DT;2;model1;ADA;0.9507727707;0.9488954495;0.8575445173;0.9600274098;0.9087859636
commons-io;RandomForest;2;model1;NONE;0.9634215597;0.9640639316;0.7956888472;0.9845820009;0.8901354241
commons-io;MLP;2;model1;ROS;0.9325365113;0.9280260613;0.8406747891;0.9386706259;0.8896727075
commons-io;MLP;2;model1;SMOTE;0.9361509955;0.9332179579;0.8059981256;0.9487208771;0.8773595013
commons-io;DT;2;model1;NONE;0.949074805;0.9485900438;0.7853795689;0.9684787574;0.8769291632
commons-io;MLP;2;model1;ADA;0.9373699479;0.9348467882;0.7985004686;0.9514618547;0.8749811617
commons-io;DT;2;model1;SMOTE;0.9326283159;0.9294512878;0.7919400187;0.9462083143;0.8690741665
commons-io;DT;2;model1;ROS;0.947383383;0.9474702229;0.7544517338;0.9709913202;0.862721527
commons-io;MLP;2;model1;NONE;0.9405798844;0.942685534;0.6597938144;0.9771585199;0.8184761672
commons-io;LogistRegression;2;model1;NONE;0.7924133664;0.7480403135;0.7544517338;0.7472590224;0.7508553781
commons-io;LogistRegression;2;model1;SMOTE;0.79627425;0.7534358139;0.7413308341;0.7549109182;0.7481208762
commons-io;LogistRegression;2;model1;ROS;0.796259059;0.7534358139;0.740393627;0.7550251256;0.7477093763
commons-io;LogistRegression;2;model1;ADA;0.7898593204;0.7450880586;0.73289597;0.746573778;0.739734874
commons-bcel;LogistRegression;2;model1;ADA;0.9253089266;0.9002452984;0.9130434783;0.8997451147;0.9063942965
commons-bcel;LogistRegression;2;model1;SMOTE;0.9242545703;0.8986099755;0.9130434783;0.8980458794;0.9055446788
commons-bcel;MLP;2;model1;SMOTE;0.9797375708;0.9787408013;0.8260869565;0.9847068819;0.9053969192
commons-bcel;MLP;2;model1;ADA;0.9816584669;0.9811937858;0.8043478261;0.9881053526;0.8962265893
commons-bcel;DT;2;model1;SMOTE;0.9690339481;0.9656582175;0.8043478261;0.9719626168;0.8881552215
commons-bcel;LogistRegression;2;model1;NONE;0.9141314919;0.8830744072;0.8913043478;0.8827527613;0.8870285545
commons-bcel;MLP;2;model1;ROS;0.980063551;0.9795584628;0.7826086957;0.9872557349;0.8849322153
commons-bcel;LogistRegression;2;model1;ROS;0.9216355952;0.8953393295;0.847826087;0.8971962617;0.8725111743
commons-bcel;DT;2;model1;ADA;0.9832889763;0.9836467702;0.7391304348;0.9932030586;0.8661667467
commons-bcel;RandomForest;2;model1;ADA;0.9861473681;0.9869174162;0.7173913043;0.997451147;0.8574212257
commons-bcel;DT;2;model1;NONE;0.977339303;0.9771054783;0.7173913043;0.9872557349;0.8523235196
commons-bcel;RandomForest;2;model1;SMOTE;0.9859693989;0.9869174162;0.6956521739;0.9983007647;0.8469764693
commons-bcel;RandomForest;2;model1;ROS;0.9842155737;0.9852820932;0.6739130435;0.997451147;0.8356820952
commons-bcel;DT;2;model1;ROS;0.9724834394;0.9721995094;0.652173913;0.9847068819;0.8184403975
commons-bcel;MLP;2;model1;NONE;0.9807079234;0.9820114473;0.6304347826;0.9957519116;0.8130933471
commons-bcel;RandomForest;2;model1;NONE;0.9825048743;0.9844644317;0.5869565217;1;0.7934782609
wro4j;RandomForest;3;model1;ADA;0.9344252708;0.9329583802;0.7765363128;0.9544524053;0.8654943591
wro4j;RandomForest;3;model1;SMOTE;0.9345805788;0.9336332958;0.7597765363;0.9575230297;0.858649783
wro4j;DT;3;model1;SMOTE;0.9255349564;0.9230596175;0.7635009311;0.9449846469;0.854242789
wro4j;DT;3;model1;ADA;0.9206335296;0.9176602925;0.7523277467;0.9403787103;0.8463532285
wro4j;RandomForest;3;model1;ROS;0.9319080996;0.9338582677;0.6629422719;0.9710849539;0.8170136129
wro4j;DT;3;model1;ROS;0.9230123436;0.9239595051;0.6573556797;0.960593654;0.8089746669
wro4j;MLP;3;model1;ADA;0.8873269508;0.8785151856;0.7094972067;0.9017400205;0.8056186136
wro4j;MLP;3;model1;ROS;0.8993881368;0.894488189;0.687150838;0.9229785056;0.8050646718
wro4j;MLP;3;model1;SMOTE;0.9027208088;0.8992125984;0.6722532588;0.9303991812;0.80132622
wro4j;DT;3;model1;NONE;0.9164285017;0.9187851519;0.6014897579;0.9623848516;0.7819373048
