Dataset;Algoritm;Approach;window;model;resample;F1-Score(weighted);Accuracy;Sensitivity;Specificity;ROC
wro4j;LogistRegression;Trad;0;model1;ROS;0.7459090302;0.6925502562;0.6666666667;0.6959625251;0.6813145959
wro4j;LogistRegression;Trad;0;model1;SMOTE;0.7487387212;0.6962948364;0.6615905245;0.7008699532;0.6812302388
wro4j;LogistRegression;Trad;0;model1;NONE;0.744341849;0.6905794245;0.6632825719;0.6941780058;0.6787302889
wro4j;LogistRegression;Trad;0;model2;NONE;0.7475862726;0.6949152542;0.654822335;0.7002007584;0.6775115467
wro4j;LogistRegression;Trad;0;model2;SMOTE;0.7508054624;0.699251084;0.6463620981;0.706223511;0.6762928046
wro4j;MLP;Trad;0;model2;ROS;0.7819923437;0.7422152148;0.5854483926;0.7628819987;0.6741651956
wro4j;LogistRegression;Trad;0;model2;ROS;0.7476020633;0.6951123374;0.6446700508;0.7017622128;0.6732161318
wro4j;MLP;Trad;0;model1;ROS;0.8141133713;0.7891210091;0.5143824027;0.825340174;0.6698612883
wro4j;LogistRegression;Trad;0;model1;ADA;0.7236135868;0.6639731967;0.6751269036;0.6625027883;0.6688148459
wro4j;LogistRegression;Trad;0;model2;ADA;0.7282856025;0.6700827749;0.6565143824;0.6718715146;0.6641929485
wro4j;MLP;Trad;0;model2;SMOTE;0.797018177;0.7652739456;0.5194585448;0.7976801249;0.6585693349
wro4j;MLP;Trad;0;model1;ADA;0.7858164698;0.7491131257;0.538071066;0.7769350881;0.6575030771
wro4j;MLP;Trad;0;model1;SMOTE;0.8108069386;0.7873472605;0.461928934;0.8302476021;0.646088268
wro4j;RandomForest;Trad;0;model2;SMOTE;0.8595347914;0.8630271975;0.3570219966;0.9297345528;0.6433782747
wro4j;RandomForest;Trad;0;model1;ADA;0.8581195724;0.861253449;0.3553299492;0.9279500335;0.6416399913
wro4j;RandomForest;Trad;0;model2;ADA;0.8571404407;0.8600709499;0.3536379019;0.9268347089;0.6402363054
wro4j;MLP;Trad;0;model2;ADA;0.8076411744;0.7845880962;0.4331641286;0.8309167968;0.6320404627
wro4j;RandomForest;Trad;0;model1;SMOTE;0.853852337;0.8573117856;0.3350253807;0.9261655142;0.6305954474
wro4j;DT;Trad;0;model1;ADA;0.7974910638;0.7698068585;0.4416243655;0.8130716038;0.6273479847
