Dataset;Algoritm;window;model;resample;F1-Score(weighted);Accuracy;Sensitivity;Specificity;ROCAUCscore
commons-bcel;LogistRegression;2;model1;ADA;0.9253089266;0.9002452984;0.9130434783;0.8997451147;0.9063942965
commons-bcel;LogistRegression;2;model1;SMOTE;0.9242545703;0.8986099755;0.9130434783;0.8980458794;0.9055446788
commons-bcel;MLP;2;model1;SMOTE;0.9797375708;0.9787408013;0.8260869565;0.9847068819;0.9053969192
commons-bcel;MLP;2;model1;ADA;0.9816584669;0.9811937858;0.8043478261;0.9881053526;0.8962265893
commons-bcel;DT;2;model1;SMOTE;0.9690339481;0.9656582175;0.8043478261;0.9719626168;0.8881552215
commons-bcel;LogistRegression;2;model1;NONE;0.9141314919;0.8830744072;0.8913043478;0.8827527613;0.8870285545
commons-bcel;MLP;2;model1;ROS;0.980063551;0.9795584628;0.7826086957;0.9872557349;0.8849322153
commons-bcel;LogistRegression;2;model1;ROS;0.9216355952;0.8953393295;0.847826087;0.8971962617;0.8725111743
commons-bcel;DT;2;model1;ADA;0.9832889763;0.9836467702;0.7391304348;0.9932030586;0.8661667467
commons-bcel;RandomForest;2;model1;ADA;0.9861473681;0.9869174162;0.7173913043;0.997451147;0.8574212257
commons-bcel;DT;2;model1;NONE;0.977339303;0.9771054783;0.7173913043;0.9872557349;0.8523235196
commons-bcel;RandomForest;2;model1;SMOTE;0.9859693989;0.9869174162;0.6956521739;0.9983007647;0.8469764693
commons-bcel;RandomForest;2;model1;ROS;0.9842155737;0.9852820932;0.6739130435;0.997451147;0.8356820952
commons-bcel;DT;2;model1;ROS;0.9724834394;0.9721995094;0.652173913;0.9847068819;0.8184403975
commons-bcel;MLP;2;model1;NONE;0.9807079234;0.9820114473;0.6304347826;0.9957519116;0.8130933471
commons-bcel;RandomForest;2;model1;NONE;0.9825048743;0.9844644317;0.5869565217;1;0.7934782609
commons-bcel;LogistRegression;3;model1;SMOTE;0.9310263764;0.9051217464;0.9459459459;0.903812825;0.9248793855
commons-bcel;LogistRegression;3;model1;ADA;0.9299705308;0.9034424853;0.9459459459;0.9020797227;0.9240128343
commons-bcel;LogistRegression;3;model1;ROS;0.9257568276;0.8967254408;0.9459459459;0.8951473137;0.9205466298
commons-bcel;LogistRegression;3;model1;NONE;0.920505225;0.8883291352;0.9459459459;0.8864818024;0.9162138742
commons-bcel;RandomForest;3;model1;ADA;0.9912441546;0.9916036944;0.7837837838;0.9982668977;0.8910253408
commons-bcel;MLP;3;model1;ROS;0.9801062027;0.9790092359;0.7837837838;0.9852686308;0.8845262073
commons-bcel;MLP;3;model1;ADA;0.9794215349;0.9781696054;0.7837837838;0.9844020797;0.8840929318
commons-bcel;MLP;3;model1;SMOTE;0.9794215349;0.9781696054;0.7837837838;0.9844020797;0.8840929318
commons-bcel;RandomForest;3;model1;ROS;0.9911093288;0.9916036944;0.7567567568;0.9991334489;0.8779451028
commons-bcel;DT;3;model1;ADA;0.9832073887;0.9832073887;0.7297297297;0.9913344887;0.8605321092
commons-bcel;RandomForest;3;model1;SMOTE;0.9883503343;0.9890848027;0.7027027027;0.9982668977;0.8504848002
commons-bcel;MLP;3;model1;NONE;0.9852245444;0.9857262804;0.7027027027;0.9948006932;0.848751698
commons-bcel;DT;3;model1;SMOTE;0.9727954712;0.9714525609;0.6486486486;0.9818024263;0.8152255375
commons-bcel;DT;3;model1;NONE;0.9808702541;0.9823677582;0.5675675676;0.9956672444;0.781617406
commons-bcel;DT;3;model1;ROS;0.9772348019;0.9781696054;0.5675675676;0.9913344887;0.7794510282
commons-bcel;RandomForest;3;model1;NONE;0.9813566327;0.9840470193;0.4864864865;1;0.7432432432
commons-bcel;LogistRegression;4;model1;ROS;0.9353483741;0.9136442142;0.9230769231;0.9133154602;0.9181961917
commons-bcel;LogistRegression;4;model1;ADA;0.9384871232;0.9188255613;0.8974358974;0.9195710456;0.9085034715
commons-bcel;MLP;4;model1;SMOTE;0.9796918839;0.9784110535;0.8205128205;0.9839142091;0.9022135148
commons-bcel;DT;4;model1;SMOTE;0.9782812565;0.9766839378;0.8205128205;0.982126899;0.9013198598
commons-bcel;MLP;4;model1;ROS;0.9775840287;0.97582038;0.8205128205;0.981233244;0.9008730322
commons-bcel;LogistRegression;4;model1;SMOTE;0.9366244227;0.9162348877;0.8717948718;0.9177837355;0.8947893036
commons-bcel;LogistRegression;4;model1;NONE;0.9305658762;0.9067357513;0.8717948718;0.9079535299;0.8898742009
commons-bcel;MLP;4;model1;ADA;0.9780672346;0.9766839378;0.7948717949;0.9830205541;0.8889461745
commons-bcel;RandomForest;4;model1;SMOTE;0.984258371;0.9844559585;0.7435897436;0.9928507596;0.8682202516
commons-bcel;RandomForest;4;model1;ADA;0.9834895219;0.9835924007;0.7435897436;0.9919571046;0.8677734241
commons-bcel;MLP;4;model1;NONE;0.9804926509;0.9801381693;0.7435897436;0.9883824844;0.865986114
commons-bcel;RandomForest;4;model1;ROS;0.9848331227;0.9853195164;0.7179487179;0.9946380697;0.8562933938
commons-bcel;DT;4;model1;ROS;0.981514729;0.981865285;0.6923076923;0.9919571046;0.8421323984
commons-bcel;DT;4;model1;NONE;0.9792746114;0.9792746114;0.6923076923;0.9892761394;0.8407919159
commons-bcel;DT;4;model1;ADA;0.9729190628;0.9715025907;0.6923076923;0.981233244;0.8367704681
commons-bcel;RandomForest;4;model1;NONE;0.9876835396;0.9887737478;0.6666666667;1;0.8333333333
