Dataset;Algoritm;window;model;resample;F1-Score(weighted);Accuracy;Sensitivity;Specificity;ROCAUCscore
wro4j;RandomForest;W2;model2;ADA;0.9471205387;0.9459343489;0.8203703704;0.96238777;0.8913790702
wro4j;RandomForest;W2;model1;ADA;0.9456318927;0.9444325252;0.812962963;0.9616597913;0.8873113771
wro4j;RandomForest;W3;model2;ADA;0.9366822295;0.9347581552;0.8044692737;0.9526612078;0.8785652408
wro4j;DT;W4;model1;SMOTE;0.9156686405;0.9108957693;0.8149466192;0.9255928046;0.8702697119
wro4j;RandomForest;W2;model1;SMOTE;0.9430864707;0.9425016091;0.7759259259;0.9643290463;0.8701274861
wro4j;RandomForest;W2;model2;SMOTE;0.9417999901;0.9409997855;0.7777777778;0.96238777;0.8700827739
wro4j;DT;W4;model2;ADA;0.9205213056;0.9170408887;0.8007117438;0.9348596348;0.8677856893
wro4j;RandomForest;W3;model2;SMOTE;0.9362433297;0.9349831271;0.7783985102;0.9564994882;0.8674489992
wro4j;RandomForest;W3;model1;ADA;0.9344252708;0.9329583802;0.7765363128;0.9544524053;0.8654943591
wro4j;DT;W3;model2;ADA;0.9264681786;0.9235095613;0.7839851024;0.9426816786;0.8633333905
pdfbox;RandomForest;W3;model2;SMOTE;0.9386706345;0.9385543088;0.7340496978;0.9647778161;0.8494137569
pdfbox;MLP;W3;model2;ROS;0.9138588124;0.9080986184;0.7696440564;0.9258525663;0.8477483114
pdfbox;RandomForest;W3;model2;ADA;0.9372558997;0.9370277078;0.7313633311;0.9633999311;0.8473816311
pdfbox;RandomForest;W3;model1;ADA;0.9397877106;0.9400809099;0.725319006;0.9676197038;0.8464693549
pdfbox;RandomForest;W3;model1;SMOTE;0.938719419;0.9389359591;0.723304231;0.96658629;0.8449452605
pdfbox;MLP;W3;model1;ROS;0.9002921102;0.891000687;0.7777031565;0.9055287633;0.8416159599
pdfbox;RandomForest;W2;model2;SMOTE;0.9330228423;0.9326143548;0.7222938144;0.9600605398;0.8411771771
pdfbox;MLP;W3;model1;ADA;0.8976971748;0.8876421647;0.7803895232;0.9013951085;0.8408923158
pdfbox;DT;W3;model1;ADA;0.9163775154;0.911915121;0.7474815312;0.9330003445;0.8402409379
pdfbox;DT;W3;model2;ADA;0.9243009117;0.9219906877;0.7306917394;0.9465208405;0.83860629
junit4;DT;W3;model1;SMOTE;0.973267687;0.9721964782;0.8214285714;0.9804496579;0.9009391146
junit4;RandomForest;W3;model1;SMOTE;0.9813048632;0.9814643188;0.8035714286;0.991202346;0.8973868873
junit4;RandomForest;W3;model2;SMOTE;0.9802839504;0.9805375348;0.7857142857;0.991202346;0.8884583159
junit4;MLP;W4;model2;ROS;0.9658498665;0.9636979671;0.7943925234;0.9729453803;0.8836689518
junit4;DT;W3;model1;ADA;0.9689253439;0.9675625579;0.7857142857;0.9775171065;0.8816156961
junit4;DT;W3;model2;SMOTE;0.9685380002;0.9670991659;0.7857142857;0.977028348;0.8813713169
junit4;RandomForest;W4;model1;SMOTE;0.9741989122;0.9738625363;0.7757009346;0.9846860643;0.8801934994
junit4;RandomForest;W3;model2;ADA;0.9801065274;0.9805375348;0.7678571429;0.9921798631;0.880018503
junit4;RandomForest;W2;model1;SMOTE;0.974619183;0.9746666667;0.7698412698;0.9868173258;0.8783292978
junit4;RandomForest;W4;model1;ADA;0.9707409388;0.9699903195;0.7663551402;0.9811128127;0.8737339764
commons-io;RandomForest;W2;model1;ROS;0.9670929724;0.9668125827;0.8669165886;0.9789858383;0.9229512134
commons-io;RandomForest;W2;model2;ROS;0.9669042078;0.9666089789;0.8669165886;0.9787574235;0.922837006
commons-io;RandomForest;W2;model1;ADA;0.9655992929;0.9652855543;0.8612933458;0.9779579717;0.9196256588
commons-io;RandomForest;W2;model1;SMOTE;0.9654779036;0.9651837524;0.8594189316;0.9780721791;0.9187455553
commons-io;RandomForest;W2;model2;ADA;0.9649139204;0.9645729411;0.8594189316;0.9773869347;0.9184029331
commons-io;RandomForest;W2;model2;SMOTE;0.9643887108;0.9640639316;0.8556701031;0.9772727273;0.9164714152
commons-io;RandomForest;W4;model1;ADA;0.9688635744;0.9691473838;0.8412698413;0.9852164731;0.9132431572
commons-io;RandomForest;W4;model1;SMOTE;0.9689357523;0.9692516156;0.8394024276;0.9855684618;0.9124854447
commons-io;RandomForest;W4;model2;ROS;0.970416637;0.9709193246;0.8319327731;0.9883843717;0.9101585724
commons-io;RandomForest;W3;model2;ROS;0.966505479;0.9666185864;0.8376313276;0.9822150364;0.909923182
commons-bcel;LogistRegression;W3;model1;SMOTE;0.9310263764;0.9051217464;0.9459459459;0.903812825;0.9248793855
commons-bcel;LogistRegression;W3;model1;ADA;0.9299705308;0.9034424853;0.9459459459;0.9020797227;0.9240128343
commons-bcel;LogistRegression;W3;model2;ROS;0.9262828089;0.8975650714;0.9459459459;0.8960138648;0.9209799054
commons-bcel;LogistRegression;W3;model1;ROS;0.9257568276;0.8967254408;0.9459459459;0.8951473137;0.9205466298
commons-bcel;LogistRegression;W4;model2;ROS;0.9359023306;0.914507772;0.9230769231;0.9142091153;0.9186430192
commons-bcel;LogistRegression;W4;model1;ROS;0.9353483741;0.9136442142;0.9230769231;0.9133154602;0.9181961917
commons-bcel;LogistRegression;W3;model1;NONE;0.920505225;0.8883291352;0.9459459459;0.8864818024;0.9162138742
commons-bcel;LogistRegression;W3;model2;NONE;0.920505225;0.8883291352;0.9459459459;0.8864818024;0.9162138742
commons-bcel;DT;W4;model2;SMOTE;0.9813165332;0.9801381693;0.8461538462;0.9848078642;0.9154808552
commons-bcel;LogistRegression;W3;model2;SMOTE;0.9313871088;0.905961377;0.9189189189;0.9055459272;0.9122324231
